Période,Produit,Sous-Type de Produit/Catégorie/Article,Mode de Transport,Origine,Destination,Port,Activité,Unité,Valeurs
1990Q2,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$,11930
1990Q2,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$/MW.h,64.6822815
1990Q2,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,MW.h,59231.678
1990Q2,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$,1340954.68
1990Q2,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$/MW.h,22.63914725
1990Q2,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,MW.h,37366
1990Q2,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,CAN$,659193.25
1990Q2,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,CAN$/MW.h,17.64152572
1990Q2,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,MW.h,1508
1990Q2,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,CAN$,25036.84
1990Q2,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,CAN$/MW.h,16.60267905
1990Q2,Electricity,N/A,N/A,British Columbia,Nevada,N/A,Exports,MW.h,710
1990Q2,Electricity,N/A,N/A,British Columbia,Nevada,N/A,Exports,CAN$,12612.95
1990Q2,Electricity,N/A,N/A,British Columbia,Nevada,N/A,Exports,CAN$/MW.h,17.76471831
1990Q2,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,MW.h,271967
1990Q2,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,CAN$,4986916.06
1990Q2,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,CAN$/MW.h,18.33647487
1990Q2,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,MW.h,9468.508
1990Q2,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,CAN$,257699.1
1990Q2,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,CAN$/MW.h,27.21644213
1990Q2,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,MW.h,457522.233
1990Q2,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,CAN$,7673530.25
1990Q2,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,CAN$/MW.h,14.33755515
1990Q2,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,MW.h,45114
1990Q2,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$,978947.72
