Period,Product,Product subtype/Category/Commodity,Mode of transportation,Origin,Destination,Port,Activity,Units,Value
1990Q2,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,CAN$/MW.h,32.61734069
1990Q2,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,MW.h,0
1990Q2,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,CAN$,29557.8
1990Q2,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,CAN$/MW.h,0
1990Q2,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,MW.h,618
1990Q2,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,CAN$,26541.64
1990Q2,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,CAN$/MW.h,42.94763754
1990Q2,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,MW.h,1117645.8
1990Q2,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,CAN$,295425
1990Q2,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,CAN$/MW.h,0.2643279293
1990Q3,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,MW.h,186.24
1990Q3,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$,11107
1990Q3,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$/MW.h,59.63810137
1990Q3,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,MW.h,1273734.522
1990Q3,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$,30438198.73
1990Q3,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$/MW.h,23.89681539
1990Q3,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,MW.h,39924
1990Q3,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,CAN$,747172.87
1990Q3,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,CAN$/MW.h,18.71488002
1990Q3,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,MW.h,44634
1990Q3,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,CAN$,834410.19
1990Q3,Electricity,N/A,N/A,British Columbia,Montana,N/A,Exports,CAN$/MW.h,18.69449724
1990Q3,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,MW.h,342913
1990Q3,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,CAN$,7410472.5
1990Q3,Electricity,N/A,N/A,British Columbia,Oregon,N/A,Exports,CAN$/MW.h,21.61035744
1990Q3,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,MW.h,732491.232
1990Q3,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,CAN$,7265965.09
1990Q3,Electricity,N/A,N/A,British Columbia,Washington,N/A,Exports,CAN$/MW.h,9.919525003
1990Q3,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,MW.h,876706.968
1990Q3,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,CAN$,11073803.63
1990Q3,Electricity,N/A,N/A,Manitoba,Minnesota,N/A,Exports,CAN$/MW.h,12.6311345
1990Q3,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,MW.h,76848
1990Q3,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$,1526694.92
1990Q3,Electricity,N/A,N/A,Manitoba,North Dakota,N/A,Exports,CAN$/MW.h,19.86642359
1990Q3,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,MW.h,555492.97
1990Q3,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$,19647742.62
1990Q3,Electricity,N/A,N/A,New Brunswick,Maine,N/A,Exports,CAN$/MW.h,35.36992128
1990Q3,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,MW.h,495809
1990Q3,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$,59014788
1990Q3,Electricity,N/A,N/A,New Brunswick,Massachusetts,N/A,Exports,CAN$/MW.h,119.0272625
1990Q3,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,MW.h,4035.24
1990Q3,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$,169211.31
1990Q3,Electricity,N/A,N/A,Ontario,Michigan,N/A,Exports,CAN$/MW.h,41.9333943
1990Q3,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,MW.h,72
1990Q3,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,CAN$,3521
1990Q3,Electricity,N/A,N/A,Ontario,Minnesota,N/A,Exports,CAN$/MW.h,48.90277778
1990Q3,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,MW.h,481018.352
1990Q3,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$,3170915.67
1990Q3,Electricity,N/A,N/A,Ontario,New York,N/A,Exports,CAN$/MW.h,6.592088757
1990Q3,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,MW.h,48468
1990Q3,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,CAN$,1116318.81
1990Q3,Electricity,N/A,N/A,Québec,New England-ISO,N/A,Exports,CAN$/MW.h,23.0320791
1990Q3,Electricity,N/A,N/A,Québec,New York,N/A,Exports,MW.h,787002
1990Q3,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$,44658694.23
1990Q3,Electricity,N/A,N/A,Québec,New York,N/A,Exports,CAN$/MW.h,56.74533766
1990Q3,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,MW.h,410946
1990Q3,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$,14628188.65
1990Q3,Electricity,N/A,N/A,Québec,Vermont,N/A,Exports,CAN$/MW.h,35.59637677
1990Q3,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,MW.h,59440
1990Q3,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,CAN$,481255.42
1990Q3,Electricity,N/A,N/A,Saskatchewan,North Dakota,N/A,Exports,CAN$/MW.h,8.096490915
1990Q3,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,MW.h,43426.7
1990Q3,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$,117371.45
1990Q3,Electricity,N/A,N/A,Maine,New Brunswick,N/A,Imports,CAN$/MW.h,2.702748539
1990Q3,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,MW.h,2757840.6
1990Q3,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$,105469291.2
1990Q3,Electricity,N/A,N/A,Michigan,Ontario,N/A,Imports,CAN$/MW.h,38.24343263
1990Q3,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,MW.h,17443
1990Q3,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,CAN$,0
1990Q3,Electricity,N/A,N/A,Minnesota,Manitoba,N/A,Imports,CAN$/MW.h,0
1990Q3,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,MW.h,40301
1990Q3,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$,1521563.11
1990Q3,Electricity,N/A,N/A,Minnesota,Ontario,N/A,Imports,CAN$/MW.h,37.75497159
1990Q3,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,MW.h,80
1990Q3,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$,4464.93
1990Q3,Electricity,N/A,N/A,Montana,British Columbia,N/A,Imports,CAN$/MW.h,55.811625
1990Q3,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,MW.h,9136
1990Q3,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$,238174.13
1990Q3,Electricity,N/A,N/A,New England-ISO,Québec,N/A,Imports,CAN$/MW.h,26.06984785
1990Q3,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,MW.h,543675
1990Q3,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$,5831952.1
1990Q3,Electricity,N/A,N/A,New York,Ontario,N/A,Imports,CAN$/MW.h,10.72690872
1990Q3,Electricity,N/A,N/A,New York,Québec,N/A,Imports,MW.h,61407
1990Q3,Electricity,N/A,N/A,New York,Québec,N/A,Imports,CAN$,24863594.93
1990Q3,Electricity,N/A,N/A,New York,Québec,N/A,Imports,CAN$/MW.h,404.8983818
1990Q3,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,MW.h,12030
1990Q3,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,CAN$,188894.2
1990Q3,Electricity,N/A,N/A,North Dakota,Saskatchewan,N/A,Imports,CAN$/MW.h,15.70192851
1990Q3,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,MW.h,0
1990Q3,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,CAN$,78645.26
1990Q3,Electricity,N/A,N/A,Vermont,Québec,N/A,Imports,CAN$/MW.h,0
1990Q3,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,MW.h,645
1990Q3,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,CAN$,26783.8
1990Q3,Electricity,N/A,N/A,Washington,Alberta,N/A,Imports,CAN$/MW.h,41.52527132
1990Q3,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,MW.h,85061.4
1990Q3,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,CAN$,1077
1990Q3,Electricity,N/A,N/A,Washington,British Columbia,N/A,Imports,CAN$/MW.h,0.01266144221
1990Q4,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,MW.h,311.04
1990Q4,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$,14815
1990Q4,Electricity,N/A,N/A,British Columbia,Alaska,N/A,Exports,CAN$/MW.h,47.63052984
1990Q4,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,MW.h,1405545
1990Q4,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$,33930217.12
1990Q4,Electricity,N/A,N/A,British Columbia,California,N/A,Exports,CAN$/MW.h,24.14025671
1990Q4,Electricity,N/A,N/A,British Columbia,Idaho,N/A,Exports,MW.h,29098
